Sun Mar  5 22:17:58 2023    output.dat

         154435388 function calls (149192969 primitive calls) in 851.703 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   771222    0.869    0.000    0.869    0.000 /Users/rasmus/opt/anaconda3/envs/67p_swarm/lib/python3.8/site-packages/desolver/utilities/interpolation.py:30(trange)
  1210536    0.829    0.000    0.829    0.000 {built-in method numpy.empty}
   248150    0.823    0.000   20.768    0.000 /Users/rasmus/opt/anaconda3/envs/67p_swarm/lib/python3.8/site-packages/pyquaternion/quaternion.py:598(_rotate_quaternion)
   301718    0.817    0.000    4.877    0.000 /Users/rasmus/opt/anaconda3/envs/67p_swarm/lib/python3.8/site-packages/numpy/core/fromnumeric.py:2162(sum)
   257074    0.808    0.000    1.174    0.000 /Users/rasmus/opt/anaconda3/envs/67p_swarm/lib/python3.8/site-packages/desolver/utilities/interpolation.py:38(__affine_transform)
  1472988    0.739    0.000    0.739    0.000 {built-in method numpy.asanyarray}
  3412876    0.669    0.000    0.669    0.000 /Users/rasmus/opt/anaconda3/envs/67p_swarm/lib/python3.8/site-packages/numpy/core/multiarray.py:736(dot)
   496653    0.661    0.000    0.661    0.000 {method 'reshape' of 'numpy.ndarray' objects}
   251458    0.618    0.000    0.726    0.000 /Users/rasmus/opt/anaconda3/envs/67p_swarm/lib/python3.8/site-packages/desolver/differential_system.py:387(__setattr__)
   209088    0.599    0.000    0.599    0.000 /Users/rasmus/Master Thesis/My Repositories/67P-Swarm/67p_swarm/Trajectory.py:140(point_is_inside_risk_zone)
  3630408    0.599    0.000    0.599    0.000 /Users/rasmus/opt/anaconda3/envs/67p_swarm/lib/python3.8/site-packages/numpy/core/numeric.py:1406(_moveaxis_dispatcher)
  1210136    0.596    0.000    0.596    0.000 {built-in method numpy.promote_types}
  3630457    0.580    0.000    0.580    0.000 {method 'insert' of 'list' objects}
   222226    0.521    0.000    7.988    0.000 /Users/rasmus/opt/anaconda3/envs/67p_swarm/lib/python3.8/site-packages/desolver/differential_system.py:191(__call__)
2144970/2144967    0.515    0.000    0.515    0.000 {built-in method builtins.isinstance}
    17748    0.514    0.000    1.054    0.000 /Users/rasmus/opt/anaconda3/envs/67p_swarm/lib/python3.8/site-packages/desolver/integrators/integrator_template.py:33(update_timestep)
   496301    0.465    0.000    9.026    0.000 <__array_function__ internals>:177(hstack)
   301718    0.456    0.000    5.824    0.000 <__array_function__ internals>:177(sum)
   496632    0.409    0.000    3.617    0.000 <__array_function__ internals>:177(atleast_1d)
    17424    0.398    0.000  718.912    0.041 /Users/rasmus/opt/anaconda3/envs/67p_swarm/lib/python3.8/site-packages/desolver/integrators/integrator_types.py:149(__call__)
   496300    0.381    0.000    0.381    0.000 /Users/rasmus/opt/anaconda3/envs/67p_swarm/lib/python3.8/site-packages/pyquaternion/quaternion.py:1116(vector)
   248150    0.378    0.000    1.511    0.000 /Users/rasmus/opt/anaconda3/envs/67p_swarm/lib/python3.8/site-packages/pyquaternion/quaternion.py:569(is_unit)
   741301    0.358    0.000    0.675    0.000 /Users/rasmus/opt/anaconda3/envs/67p_swarm/lib/python3.8/site-packages/numpy/core/shape_base.py:207(_arrays_for_stack_dispatcher)
802529/802527    0.351    0.000    0.371    0.000 {built-in method builtins.hasattr}
   232134    0.343    0.000    0.343    0.000 {method 'astype' of 'numpy.ndarray' objects}
   380713    0.316    0.000    0.316    0.000 /Users/rasmus/opt/anaconda3/envs/67p_swarm/lib/python3.8/site-packages/numpy/core/fromnumeric.py:70(<dictcomp>)
   222226    0.315    0.000    2.241    0.000 /Users/rasmus/opt/anaconda3/envs/67p_swarm/lib/python3.8/site-packages/desolver/differential_system.py:183(find_interval)
   496694    0.292    0.000    0.773    0.000 /Users/rasmus/opt/anaconda3/envs/67p_swarm/lib/python3.8/site-packages/numpy/core/shape_base.py:218(_vhstack_dispatcher)
  1742646    0.285    0.000    0.285    0.000 {method 'get' of 'dict' objects}
    17748    0.282    0.000    0.712    0.000 /Users/rasmus/opt/anaconda3/envs/67p_swarm/lib/python3.8/site-packages/desolver/integrators/integrator_types.py:329(get_error_estimate)
   990851    0.264    0.000    0.264    0.000 /Users/rasmus/opt/anaconda3/envs/67p_swarm/lib/python3.8/site-packages/numpy/core/multiarray.py:148(concatenate)
   248150    0.241    0.000    1.070    0.000 /Users/rasmus/opt/anaconda3/envs/67p_swarm/lib/python3.8/site-packages/pyquaternion/quaternion.py:458(_sum_of_squares)
    52272    0.236    0.000    2.519    0.000 /Users/rasmus/opt/anaconda3/envs/67p_swarm/lib/python3.8/site-packages/desolver/differential_system.py:104(<listcomp>)
   228815    0.229    0.000    0.646    0.000 /Users/rasmus/opt/anaconda3/envs/67p_swarm/lib/python3.8/site-packages/desolver/backend/numpy_backend.py:32(to_float)
  1210136    0.225    0.000    0.225    0.000 /Users/rasmus/opt/anaconda3/envs/67p_swarm/lib/python3.8/site-packages/numpy/core/numeric.py:1481(_cross_dispatcher)
   248150    0.210    0.000    1.721    0.000 /Users/rasmus/opt/anaconda3/envs/67p_swarm/lib/python3.8/site-packages/pyquaternion/quaternion.py:504(_normalise)
   244598    0.206    0.000    3.825    0.000 <__array_function__ internals>:177(stack)
   112488    0.203    0.000    1.036    0.000 /Users/rasmus/opt/anaconda3/envs/67p_swarm/lib/python3.8/site-packages/desolver/backend/numpy_backend.py:42(_wrapped)
   248494    0.196    0.000    0.196    0.000 /Users/rasmus/opt/anaconda3/envs/67p_swarm/lib/python3.8/site-packages/dotmap/__init__.py:95(__getitem__)
   227167    0.194    0.000    0.876    0.000 <__array_function__ internals>:177(copy)
   227167    0.192    0.000    1.068    0.000 /Users/rasmus/opt/anaconda3/envs/67p_swarm/lib/python3.8/site-packages/desolver/backend/numpy_backend.py:239(copy)
    52272    0.191    0.000    2.002    0.000 /Users/rasmus/opt/anaconda3/envs/67p_swarm/lib/python3.8/site-packages/desolver/differential_system.py:106(<listcomp>)
   223881    0.189    0.000    0.881    0.000 /Users/rasmus/opt/anaconda3/envs/67p_swarm/lib/python3.8/site-packages/desolver/backend/numpy_backend.py:247(shape)
   223881    0.184    0.000    0.692    0.000 <__array_function__ internals>:177(shape)
  1044896    0.183    0.000    0.183    0.000 {method 'append' of 'list' objects}
    17424    0.180    0.000    1.105    0.000 /Users/rasmus/opt/anaconda3/envs/67p_swarm/lib/python3.8/site-packages/desolver/differential_system.py:203(add_interpolant)
   248167    0.170    0.000    0.170    0.000 {built-in method math.cos}
   244598    0.165    0.000    0.359    0.000 /Users/rasmus/opt/anaconda3/envs/67p_swarm/lib/python3.8/site-packages/numpy/core/shape_base.py:348(_stack_dispatcher)
   257223    0.160    0.000    0.160    0.000 {method 'startswith' of 'str' objects}
   244598    0.158    0.000    0.158    0.000 /Users/rasmus/opt/anaconda3/envs/67p_swarm/lib/python3.8/site-packages/numpy/core/shape_base.py:432(<listcomp>)
   496308    0.153    0.000    0.153    0.000 {built-in method builtins.abs}
   244598    0.152    0.000    0.152    0.000 /Users/rasmus/opt/anaconda3/envs/67p_swarm/lib/python3.8/site-packages/numpy/core/shape_base.py:424(<setcomp>)
    17424    0.151    0.000    0.703    0.000 /Users/rasmus/opt/anaconda3/envs/67p_swarm/lib/python3.8/site-packages/desolver/integrators/integrator_types.py:194(dense_output)
    52272    0.144    0.000    3.499    0.000 /Users/rasmus/opt/anaconda3/envs/67p_swarm/lib/python3.8/site-packages/desolver/utilities/optimizer.py:160(_f)
    18417    0.144    0.000    0.144    0.000 /Users/rasmus/opt/anaconda3/envs/67p_swarm/lib/python3.8/site-packages/desolver/differential_system.py:655(__fix_dt_dir)
   222890    0.143    0.000    0.143    0.000 {built-in method builtins.min}
   248150    0.140    0.000    0.140    0.000 /Users/rasmus/opt/anaconda3/envs/67p_swarm/lib/python3.8/site-packages/pyquaternion/quaternion.py:1107(scalar)
   244598    0.135    0.000    0.347    0.000 /Users/rasmus/opt/anaconda3/envs/67p_swarm/lib/python3.8/site-packages/numpy/core/shape_base.py:420(<listcomp>)
        2    0.126    0.063    0.126    0.063 {tetgen._tetgen.Tetrahedralize}
    52272    0.121    0.000    0.536    0.000 /Users/rasmus/opt/anaconda3/envs/67p_swarm/lib/python3.8/site-packages/numpy/core/numeric.py:218(ones_like)
    17424    0.118    0.000    0.939    0.000 /Users/rasmus/opt/anaconda3/envs/67p_swarm/lib/python3.8/site-packages/desolver/differential_system.py:89(<listcomp>)
   206489    0.118    0.000    0.118    0.000 /Users/rasmus/opt/anaconda3/envs/67p_swarm/lib/python3.8/site-packages/desolver/backend/common.py:60(epsilon)
        2    0.116    0.058    0.116    0.058 {method 'Render' of 'vtkmodules.vtkRenderingOpenGL2.vtkOpenGLRenderWindow' objects}
   383270    0.109    0.000    0.109    0.000 {method 'items' of 'dict' objects}
   251472    0.108    0.000    0.108    0.000 {method 'replace' of 'str' objects}
    17748    0.102    0.000    1.162    0.000 /Users/rasmus/opt/anaconda3/envs/67p_swarm/lib/python3.8/site-packages/desolver/integrators/integrator_types.py:205(update_timestep)
   223881    0.100    0.000    0.100    0.000 /Users/rasmus/opt/anaconda3/envs/67p_swarm/lib/python3.8/site-packages/numpy/core/fromnumeric.py:1965(shape)
   227167    0.100    0.000    0.407    0.000 /Users/rasmus/opt/anaconda3/envs/67p_swarm/lib/python3.8/site-packages/numpy/lib/function_base.py:870(copy)
    17755    0.096    0.000    0.350    0.000 /Users/rasmus/opt/anaconda3/envs/67p_swarm/lib/python3.8/site-packages/desolver/differential_system.py:591(dt)
   248148    0.094    0.000    0.094    0.000 /Users/rasmus/opt/anaconda3/envs/67p_swarm/lib/python3.8/site-packages/desolver/integrators/integrator_types.py:127(fsal)
   496632    0.090    0.000    0.090    0.000 /Users/rasmus/opt/anaconda3/envs/67p_swarm/lib/python3.8/site-packages/numpy/core/shape_base.py:19(_atleast_1d_dispatcher)
   248167    0.090    0.000    0.090    0.000 {built-in method math.sin}
   301718    0.088    0.000    0.088    0.000 /Users/rasmus/opt/anaconda3/envs/67p_swarm/lib/python3.8/site-packages/numpy/core/fromnumeric.py:2157(_sum_dispatcher)
    17424    0.085    0.000    0.551    0.000 /Users/rasmus/opt/anaconda3/envs/67p_swarm/lib/python3.8/site-packages/desolver/utilities/interpolation.py:22(__init__)
